post_title,datetime,sentiment_scores,sentiment,topic,new_post_content
Andrew Giles released four people from immigration detention without strictest conditions,2024-06-24T15:00:42Z,-0.3612,negative,key individuals,andrew giles released people immigration detention strictest conditions
Andrew Giles released four people from immigration detention without strictest conditions,2024-06-24T15:00:42Z,-0.3612,negative,immigration policy,andrew giles released people immigration detention strictest conditions
Andrew Giles released four people from immigration detention without strictest conditions,2024-06-24T15:00:42Z,-0.3612,negative,detention policy,andrew giles released people immigration detention strictest conditions
Australia’s immigration minister suppresses details about electronic monitoring of former detainees,2024-05-07T15:00:20Z,0.0,neutral,migration policy suppresses details,australia’s immigration minister suppresses details electronic monitoring detainees
Immigration minister re-cancels visa of alleged murderer released after AAT ruling,2024-05-28T08:07:50Z,-0.6808,negative,visa policy,immigration minister re-cancels visa alleged murderer released aat ruling
Immigration minister re-cancels visa of alleged murderer released after AAT ruling,2024-05-28T08:07:50Z,-0.6808,negative,legal issues,immigration minister re-cancels visa alleged murderer released aat ruling
"Boost drug search powers, make immigration detention ‘last resort’, watchdog says",2024-04-21T20:00:05Z,0.0516,negative,customs,"boost drug search powers, make immigration detention ‘last resort’, watchdog says"
"Boost drug search powers, make immigration detention ‘last resort’, watchdog says",2024-04-21T20:00:05Z,0.0516,negative,immigration policy,"boost drug search powers, make immigration detention ‘last resort’, watchdog says"
"Boost drug search powers, make immigration detention ‘last resort’, watchdog says",2024-04-21T20:00:05Z,0.0516,negative,legal issues,"boost drug search powers, make immigration detention ‘last resort’, watchdog says"
"Dutton’s plan to cut immigration would cost Australia’s economy ‘billions’, treasurer says",2024-05-19T04:07:13Z,-0.1531,negative,government policy,"dutton’s plan cut immigration cost australia’s economy ‘billions’, treasurer says"
"Dutton’s plan to cut immigration would cost Australia’s economy ‘billions’, treasurer says",2024-05-19T04:07:13Z,-0.1531,negative,economy,"dutton’s plan cut immigration cost australia’s economy ‘billions’, treasurer says"
Immigration debate continues – as it happened,2023-11-30T07:02:24Z,0.0,neutral,migration policy,immigration debate continues – happened
Andrew Giles backs away from claim drones being used to track released immigration detainees,2024-06-03T05:43:55Z,-0.0516,negative,key individuals,andrew giles backs away claim drones used track released immigration detainees
Andrew Giles backs away from claim drones being used to track released immigration detainees,2024-06-03T05:43:55Z,-0.0516,negative,controversies,andrew giles backs away claim drones used track released immigration detainees
Andrew Giles backs away from claim drones being used to track released immigration detainees,2024-06-03T05:43:55Z,-0.0516,negative,immigration detainees,andrew giles backs away claim drones used track released immigration detainees
"Drones used to track immigration detainees released after high court decision, Andrew Giles reveals",2024-05-30T05:14:19Z,0.0,neutral,detention policy,"drones used track immigration detainees released high court decision, andrew giles reveals"
"Drones used to track immigration detainees released after high court decision, Andrew Giles reveals",2024-05-30T05:14:19Z,0.0,neutral,government policy,"drones used track immigration detainees released high court decision, andrew giles reveals"
Minister was warned of ‘increased’ legal risks of immigration detention in 2022,2024-04-11T15:00:28Z,-0.6369,negative,legal issues,minister warned ‘increased’ legal risks immigration detention 2022
Minister was warned of ‘increased’ legal risks of immigration detention in 2022,2024-04-11T15:00:28Z,-0.6369,negative,immigration policy,minister warned ‘increased’ legal risks immigration detention 2022
Refugee Sayed Abdellatif freed after almost 12 years in Australian immigration detention,2024-04-09T06:49:31Z,0.0516,negative,australian immigration policy,refugee sayed abdellatif freed 12 years australian immigration detention
Operation Zufolo: Australia deployed a ‘charade’ to sustain indefinite immigration detention – it failed,2024-04-27T00:00:20Z,-0.7003,negative,government policy,operation zufolo: australia deployed ‘charade’ sustain indefinite immigration detention – failed
Operation Zufolo: Australia deployed a ‘charade’ to sustain indefinite immigration detention – it failed,2024-04-27T00:00:20Z,-0.7003,negative,indefinite immigration policy,operation zufolo: australia deployed ‘charade’ sustain indefinite immigration detention – failed
"Secret Serco rating system for immigration detainees must be scrapped, say Greens",2024-03-14T14:00:25Z,0.0,neutral,controversies,"secret serco rating immigration detainees scrapped, say greens"
"Secret Serco rating system for immigration detainees must be scrapped, say Greens",2024-03-14T14:00:25Z,0.0,neutral,immigration detainees,"secret serco rating immigration detainees scrapped, say greens"
Flawed immigration detention risk assessment tool can’t be upgraded as ABF data ‘riddled with errors’,2024-05-10T00:00:24Z,-0.7717,negative,migration policy,flawed immigration detention risk assessment tool can’t upgraded abf data ‘riddled errors’
Flawed immigration detention risk assessment tool can’t be upgraded as ABF data ‘riddled with errors’,2024-05-10T00:00:24Z,-0.7717,negative,government policy,flawed immigration detention risk assessment tool can’t upgraded abf data ‘riddled errors’
Australian immigration detainees’ lives controlled by secret rating system developed by Serco,2024-03-12T19:04:49Z,0.0,neutral,detention policy,australian immigration detainees’ lives controlled secret rating developed serco
Revealed: the secret algorithm that controls the lives of Serco’s immigration detainees,2024-03-12T19:00:00Z,0.0,neutral,secret algorithm,revealed: secret algorithm controls lives serco’s immigration detainees
Revealed: the secret algorithm that controls the lives of Serco’s immigration detainees,2024-03-12T19:00:00Z,0.0,neutral,detention policy,revealed: secret algorithm controls lives serco’s immigration detainees
Immigration minister Andrew Giles seeking ‘urgent advice’ about re-cancelling visa of man accused of murder,2024-05-23T07:13:51Z,-0.7845,negative,key individuals,immigration minister andrew giles seeking ‘urgent advice’ re-cancelling visa man accused murder
Immigration minister Andrew Giles seeking ‘urgent advice’ about re-cancelling visa of man accused of murder,2024-05-23T07:13:51Z,-0.7845,negative,government policy,immigration minister andrew giles seeking ‘urgent advice’ re-cancelling visa man accused murder
Dan Tehan condemns ‘big Australia’ policy but won’t reveal Coalition’s immigration plan,2024-03-03T02:30:59Z,-0.2846,negative,key individuals,dan tehan condemns ‘big australia’ policy won’t reveal coalition’s immigration plan
