post_title,datetime,sentiment_scores,sentiment,topic
Andrew Giles released four people from immigration detention without strictest conditions,2024-06-24T15:00:42Z,-0.3612,negative,"andrew giles, immigration detention, strictest conditions"
Australia’s immigration minister suppresses details about electronic monitoring of former detainees,2024-05-07T15:00:20Z,0.0,neutral,australia immigration minister suppresses details
Immigration minister re-cancels visa of alleged murderer released after AAT ruling,2024-05-28T08:07:50Z,-0.6808,negative,"immigration minister re cancels visa, aat ruling"
"Boost drug search powers, make immigration detention ‘last resort’, watchdog says",2024-04-21T20:00:05Z,0.0516,negative,"drug search powers, immigration detention, resort watchdog"
"Dutton’s plan to cut immigration would cost Australia’s economy ‘billions’, treasurer says",2024-05-19T04:07:13Z,-0.1531,negative,"dutton plan, australia economy billions treasurer"
Immigration debate continues – as it happened,2023-11-30T07:02:24Z,0.0,neutral,immigration debate
Andrew Giles backs away from claim drones being used to track released immigration detainees,2024-06-03T05:43:55Z,-0.0516,negative,"andrew giles backs, claim drones, immigration detainees"
"Drones used to track immigration detainees released after high court decision, Andrew Giles reveals",2024-05-30T05:14:19Z,0.0,neutral,"track immigration detainees, high court decision andrew giles reveals"
Minister was warned of ‘increased’ legal risks of immigration detention in 2022,2024-04-11T15:00:28Z,-0.6369,negative,"legal risks, immigration detention"
Refugee Sayed Abdellatif freed after almost 12 years in Australian immigration detention,2024-04-09T06:49:31Z,0.0516,negative,australian immigration detention
Operation Zufolo: Australia deployed a ‘charade’ to sustain indefinite immigration detention – it failed,2024-04-27T00:00:20Z,-0.7003,negative,"operation zufolo australia, indefinite immigration detention"
"Secret Serco rating system for immigration detainees must be scrapped, say Greens",2024-03-14T14:00:25Z,0.0,neutral,"secret serco, immigration detainees"
Flawed immigration detention risk assessment tool can’t be upgraded as ABF data ‘riddled with errors’,2024-05-10T00:00:24Z,-0.7717,negative,"immigration detention risk assessment tool, abf data"
Australian immigration detainees’ lives controlled by secret rating system developed by Serco,2024-03-12T19:04:49Z,0.0,neutral,australian immigration detainees
Revealed: the secret algorithm that controls the lives of Serco’s immigration detainees,2024-03-12T19:00:00Z,0.0,neutral,"secret algorithm, serco immigration detainees"
Immigration minister Andrew Giles seeking ‘urgent advice’ about re-cancelling visa of man accused of murder,2024-05-23T07:13:51Z,-0.7845,negative,"immigration minister andrew giles, urgent advice"
